window,miu,be,sig,a,p,LogL
95,0.396305652,0.956262951,0.157060022,0.304588421,5.50385149,-9203.747698
96,0.406584071,0.959949276,0.159909951,0.299986994,5.529829553,-9197.931738
97,0.410251697,0.959994218,0.153157414,0.303698019,5.504409201,-9198.92228
98,0.398647488,0.959994088,0.175639852,0.29999839,5.499986268,-9194.230677
99,0.364502844,0.959983784,0.149998759,0.299995845,5.499962584,-9198.197895
100,0.499315309,0.960311058,0.164419946,0.300292267,5.539621422,-9200.333221
101,0.400660621,0.959999482,0.150209911,0.300517576,5.500173421,-9199.401512
102,0.512134098,0.955390388,0.151631167,0.299238406,5.500179316,-9190.515325
103,0.406404262,0.959118782,0.150749793,0.299279103,5.507297224,-9190.143469
104,0.354225229,0.957815879,0.176542107,0.30015345,5.503589512,-9198.761877
105,0.408349701,0.9592865,0.173660361,0.301837121,5.499283194,-9186.952091
106,0.387233605,0.960451468,0.181128014,0.301123456,5.506564076,-9198.906242
107,0.345515173,0.95993315,0.179369403,0.300007283,5.519474248,-9201.251775
108,0.42537126,0.959971507,0.149997808,0.299992694,5.499934247,-9197.140525
109,0.406652813,0.959966892,0.182763043,0.299983519,5.499921833,-9201.161921
110,0.485673795,0.959921414,0.149835067,0.300101336,5.499855398,-9190.551895
111,0.399743711,0.959858667,0.150243845,0.299978139,5.499947748,-9194.777425
112,0.376195946,0.955662301,0.173883813,0.291854418,5.496250358,-9190.62431
113,0.401969919,0.959991104,0.173016063,0.299997719,5.502768408,-9202.873503
114,0.402344433,0.960085062,0.158249491,0.299795529,5.499492275,-9203.071975
115,0.403372611,0.947178605,0.161923206,0.269398067,5.499379305,-9188.000178
116,0.378680686,0.959921641,0.178848618,0.300067211,5.500160578,-9205.126173
117,0.34411458,0.959740405,0.17638529,0.309730093,5.514026335,-9212.727839
118,0.401353185,0.960144232,0.152514827,0.300257651,5.499909872,-9210.683238
119,0.44252801,0.96000062,0.1499969,0.299989667,5.499906999,-9208.378635
