PIT.Wei.SCD,PIT.GG.SCD,PIT.Burr.SCD,PIT.GB2.SCD,PIT.EGIG.SCD,PIT.EGIG.TSCD
0.499150277,0.499150277,0.345277162,0.360342527,0.250209818,0.255575802
0.337346065,0.337346065,0.152513372,0.154706943,0.417271111,0.425943177
0.513931143,0.513931143,0.324346901,0.339630737,0.541708039,0.542977003
0.34906196,0.34906196,0.187621644,0.164788791,0.169178747,0.171075707
0.628372069,0.628372069,0.520897856,0.508369989,0.585471481,0.59333078
0.687919561,0.687919561,0.642365461,0.60670591,0.826927919,0.835038084
0.343084375,0.343084375,0.167669366,0.159441012,0.408361918,0.41425374
0.80692357,0.80692357,0.80371573,0.78770973,0.916252724,0.924835054
0.488674129,0.488674129,0.3601386,0.317371916,0.499557066,0.505622054
0.751754852,0.751754852,0.718561088,0.7054481,0.790603118,0.790690407
0.775857229,0.775857229,0.744496663,0.720270107,0.745055973,0.759338203
0.286359873,0.286359873,0.136609707,0.123900352,0.159703824,0.165732951
0.310293527,0.310293527,0.137291357,0.13977974,0.203797242,0.209156317
0.580369722,0.580369722,0.486165108,0.432301435,0.790001501,0.79051677
0.772072708,0.772072708,0.751473071,0.73805655,0.850400605,0.856970315
0.621330226,0.621330226,0.519443219,0.491135123,0.448677514,0.454514934
0.28661919,0.28661919,0.118594856,0.111726771,0.243378164,0.246019112
0.326317479,0.326317479,0.136613434,0.126676331,0.512960478,0.513098439
0.31877295,0.31877295,0.168281321,0.140837448,0.186340316,0.197499218
0.335627397,0.335627397,0.118725869,0.153441971,0.378582352,0.387752345
0.340511758,0.340511758,0.13223142,0.201397008,0.518623453,0.524549786
0.52904722,0.52904722,0.334934552,0.368225236,0.32786238,0.339960157
0.700537117,0.100537117,0.628737086,0.622455336,0.916183319,0.922952677
0.512397265,0.512397265,0.38452006,0.345761048,0.369896419,0.373802145
0.62236102,0.62236102,0.537245273,0.501893484,0.726820874,0.733083615
0.513858405,0.513858405,0.385170941,0.351071561,0.669125739,0.670135334
0.350785454,0.350785454,0.179155493,0.176598494,0.342716812,0.349356709
0.53014153,0.53014153,0.41343425,0.375075679,0.500484363,0.509807355
0.363966484,0.363966484,0.61380997,0.177852535,0.365029349,0.37031539
0.530666076,0.530666076,0.40669486,0.394217117,0.721239562,0.728904539
0.369730772,0.369730772,0.500873003,0.187766784,0.350012038,0.352030093
0.838357169,0.838357169,0.847787512,0.840615728,0.92858919,0.936150963
0.754651306,0.754651306,0.737556615,0.71390216,0.736949455,0.743178474
0.622933297,0.622933297,0.511397969,0.500419898,0.180338439,0.184456159
0.843328806,0.843328806,0.856840437,0.844573282,0.790568894,0.792421164
0.583971092,0.583971092,0.462999472,0.448440451,0.384583624,0.382485353
0.706300686,0.106300686,0.662631021,0.632693608,0.569738246,0.574492207
0.839065801,0.839065801,0.850132932,0.839705215,0.767489974,0.77928123
0.280380006,0.280380006,0.078763098,0.109566091,0.029556778,0.038472814
