Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.605498821,0.930674826,0.199491915,0.608361778,2.700977283,24.77009773,-9224.933343,18461.86669,18502.26728
Estimate,0.529368803,0.890368061,0.198049113,0.617180333,2.718386591,24.97183866,-9187.969046,18387.93809,18428.33869
Estimate,0.586578701,0.920397853,0.197360963,0.611085895,2.780912473,24.97809125,-9216.384406,18444.76881,18485.16941
Estimate,0.451367115,0.930763424,0.195837754,0.599402323,2.779915048,24.9779915,-9228.80601,18469.61202,18510.01262
Estimate,0.567321317,0.930013211,0.199869548,0.671545546,2.679990584,24.96799906,-9192.463827,18396.92765,18437.32825
Estimate,0.543870854,0.930817963,0.199047414,0.602736141,2.689691931,24.96896919,-9216.383912,18444.76782,18485.16842
Estimate,0.362623762,0.931369825,0.199558254,0.644251158,2.684072208,24.96840722,-9187.832107,18387.66421,18428.06481
Estimate,0.671683576,0.929779073,0.192937477,0.599669621,2.780028295,25.07800283,-9232.437838,18476.87568,18517.27627
Estimate,0.652735565,0.942553911,0.196710478,0.66594948,2.79405487,24.97940549,-9224.526597,18461.05319,18501.45379
Estimate,0.715401985,0.930001791,0.198443708,0.715473603,2.579983287,24.95799833,-9231.475591,18474.95118,18515.35178
Estimate,0.517184627,0.938268984,0.192597406,0.647846942,2.579564485,24.75795645,-9195.886609,18403.77322,18444.17382
Estimate,0.578267384,0.926197052,0.218990934,0.624833724,2.779823606,24.97798236,-9199.566773,18411.13355,18451.53414
Estimate,0.574270063,0.923182152,0.202294355,0.652427917,2.779976714,25.17799767,-9207.764278,18427.52856,18467.92915
Estimate,0.580147059,0.91998881,0.190029208,0.657537136,2.779995326,24.97799953,-9231.153543,18474.30709,18514.70768
Estimate,0.540511257,0.929870056,0.199989494,0.623983843,2.595573799,24.95955738,-9223.467611,18458.93522,18499.33582
Estimate,0.521742793,0.929608011,0.198995454,0.59914383,2.580024368,24.95800244,-9223.571206,18459.14241,18499.54301
Estimate,0.674949489,0.892283144,0.190073462,0.69026933,2.778548109,24.97785481,-9216.186041,18444.37208,18484.77268
Estimate,0.511577426,0.898403621,0.197421762,0.591111121,2.73444575,24.97344457,-9186.612157,18385.22431,18425.62491
Estimate,0.62692904,0.929878332,0.194480278,0.670703364,2.69117251,25.06911725,-9204.07085,18420.1417,18460.5423
Estimate,0.565802119,0.935181149,0.190277851,0.61672337,2.882652759,24.98826528,-9211.387339,18434.77468,18475.17528
Estimate,0.698275392,0.89917777,0.191480573,0.632565653,2.779734618,24.97797346,-9211.67516,18435.35032,18475.75092
Estimate,0.550697562,0.942654735,0.199182487,0.609376991,2.580027085,24.95800271,-9215.354108,18442.70822,18483.10881
Estimate,0.306823377,0.942963176,0.192617886,0.622782729,2.502867184,24.95028672,-9207.038198,18426.0764,18466.47699
Estimate,0.622768288,0.959977244,0.190688559,0.622684727,2.882658861,24.78826589,-9231.549946,18475.09989,18515.50049
Estimate,0.731666282,0.94303392,0.190415921,0.637933631,2.780377148,24.97803771,-9207.602674,18427.20535,18467.60595
Estimate,0.18345996,0.945186301,0.19802313,0.656036313,2.791484809,24.97914848,-9210.263693,18432.52739,18472.92798
Estimate,0.487901849,0.929725164,0.194984469,0.630827951,2.784146193,24.97841462,-9231.824387,18475.64877,18516.04937
Estimate,0.583826122,0.919998769,0.199789486,0.658829165,2.780005118,25.17800051,-9226.467252,18464.9345,18505.3351
Estimate,0.589708789,0.929968302,0.197902568,0.662636699,2.78008996,24.978009,-9218.025107,18448.05021,18488.45081
Estimate,0.571605726,0.931702016,0.210285545,0.620162107,2.779521813,24.97795218,-9206.005001,18424.01,18464.4106
Estimate,0.593946185,0.925352971,0.199125619,0.674400754,2.780797569,24.97807976,-9192.48061,18396.96122,18437.36182
Estimate,0.576947517,0.928971873,0.197745608,0.597575139,2.580412649,25.15804126,-9225.745225,18463.49045,18503.89105
Estimate,0.601427082,0.931625525,0.199530724,0.599717817,2.780478976,24.9780479,-9224.003449,18460.0069,18500.4075
Estimate,0.594829448,0.932810373,0.199399633,0.604500556,2.782942212,24.97829422,-9214.769007,18441.53801,18481.93861
Estimate,0.684055005,0.921414791,0.192588039,0.703932666,2.570812841,24.95708128,-9215.259694,18442.51939,18482.91998
Estimate,0.608191267,0.929527814,0.196914085,0.680773482,2.788353125,24.97883531,-9204.314797,18420.62959,18461.03019
Estimate,0.640888891,0.929767412,0.198522635,0.638574395,2.880257894,24.98802579,-9195.327472,18402.65494,18443.05554
Estimate,0.560669881,0.919499274,0.196440634,0.599820633,2.782182637,24.97821826,-9220.115757,18452.23151,18492.63211
Estimate,0.586556171,0.941200591,0.216174699,0.644724458,2.780632651,24.97806327,-9217.795945,18447.59189,18487.99249
Estimate,0.59284262,0.931997186,0.205598827,0.646002756,2.780388508,24.97803885,-9212.634976,18437.26995,18477.67055
Estimate,0.617138952,0.941269792,0.197081065,0.619639327,2.787135118,24.97871351,-9211.139944,18434.27989,18474.68049
Estimate,0.5690347,0.929738808,0.204204594,0.685123089,2.780258748,24.97802587,-9201.739495,18415.47899,18455.87959
Estimate,0.596387091,0.929361335,0.192876417,0.644001673,2.7800053,25.07800053,-9195.196597,18402.39319,18442.79379
Estimate,0.70977004,0.95458997,0.197283178,0.656631415,2.781814466,24.97818145,-9220.009449,18452.0189,18492.41949
Estimate,0.596884234,0.948068995,0.197903662,0.653081586,2.778538952,24.9778539,-9208.608,18429.216,18469.6166
Estimate,0.64447368,0.922990647,0.197057868,0.599566454,2.582435045,24.9582435,-9226.142686,18464.28537,18504.68597
Estimate,0.44203926,0.930878033,0.207187893,0.626304756,2.778978041,24.9778978,-9208.680924,18429.36185,18469.76245
Estimate,0.617596251,0.942112372,0.199867162,0.633116605,2.782196575,24.97821966,-9209.374104,18430.74821,18471.14881
Estimate,0.550287542,0.922103632,0.197702643,0.66219441,2.780732432,24.97807324,-9194.739104,18401.47821,18441.87881
Estimate,0.487820334,0.92670082,0.190888785,0.630564067,2.777736726,25.17777367,-9201.634412,18415.26882,18455.66942
Estimate,0.693538071,0.934839958,0.196782424,0.60528925,2.783824703,24.97838247,-9228.467431,18468.93486,18509.33546
Estimate,0.648553076,0.933311488,0.191348723,0.658700766,2.779278214,24.97792782,-9201.716282,18415.43256,18455.83316
Estimate,0.564079046,0.919930126,0.192387485,0.65982468,2.784720705,24.97847207,-9208.00875,18428.0175,18468.4181
Estimate,0.495848124,0.920000775,0.198216159,0.599984506,2.582084935,24.95820849,-9219.157518,18450.31504,18490.71563
Estimate,0.55032015,0.920001299,0.193543846,0.627602932,2.806139307,24.98061393,-9199.774704,18411.54941,18451.95001
Estimate,0.546987771,0.891902179,0.192098948,0.660423864,2.78118887,24.97811889,-9186.640462,18385.28092,18425.68152
Estimate,0.575390262,0.956049258,0.197221792,0.61336538,2.786649182,24.97866492,-9227.735285,18467.47057,18507.87117
Estimate,0.510185,0.933136451,0.192570004,0.65680326,2.779552526,24.97795525,-9192.843986,18397.68797,18438.08857
Estimate,0.331416933,0.92096212,0.205263276,0.601455713,2.52100662,24.75210066,-9213.303322,18438.60664,18479.00724
Estimate,0.599665001,0.929506242,0.197993965,0.620126002,2.785140845,24.97851408,-9198.867294,18409.73459,18450.13519
Estimate,0.69414658,0.924892223,0.199414605,0.670930072,2.778675934,25.17786759,-9211.111849,18434.2237,18474.6243
Estimate,0.436895562,0.928753326,0.194871374,0.681373826,2.779264062,24.97792641,-9192.522318,18397.04464,18437.44523
Estimate,0.39703642,0.924724271,0.191140246,0.640246777,2.781742904,25.07817429,-9217.79,18447.58,18487.9806
Estimate,0.355436666,0.92998516,0.20964051,0.599881007,2.783533607,24.97835336,-9228.602231,18469.20446,18509.60506
Estimate,0.638545247,0.929435149,0.197927039,0.623992421,2.789240447,24.97892404,-9198.625356,18409.25071,18449.65131
Estimate,0.569635202,0.930444844,0.190164784,0.649468284,2.783059388,24.97830594,-9221.25438,18454.50876,18494.90936
Estimate,0.601701214,0.93114892,0.195498184,0.632512065,2.880201458,24.98802015,-9195.693328,18403.38666,18443.78725
Estimate,0.576351713,0.922482836,0.219563124,0.655479258,2.797390362,24.97973904,-9224.68659,18461.37318,18501.77378
Estimate,0.492888831,0.930446473,0.191846617,0.601930979,2.78107862,24.97810786,-9219.466619,18450.93324,18491.33383
Estimate,0.621656818,0.929311406,0.196626111,0.627481649,2.790844578,24.77908446,-9197.935859,18407.87172,18448.27232
Estimate,0.621679649,0.940671335,0.194454723,0.599272718,2.779951671,24.97799517,-9231.773451,18475.5469,18515.9475
Estimate,0.639934334,0.925245434,0.215192166,0.645764017,2.786898815,24.97868988,-9217.649803,18447.29961,18487.7002
Estimate,0.471395384,0.929568145,0.198800627,0.643165979,2.790311434,24.97903114,-9186.951076,18385.90215,18426.30275
Estimate,0.581476379,0.923332233,0.207658814,0.641357543,2.683314881,24.96833149,-9194.807885,18401.61577,18442.01637
Estimate,0.644951246,0.920818375,0.20669722,0.631809286,2.789302049,24.9789302,-9191.451873,18394.90375,18435.30434
Estimate,0.58296143,0.929986342,0.190002451,0.64639155,2.779998309,24.97799983,-9226.053199,18464.1064,18504.50699
Estimate,0.601784452,0.945857854,0.198262648,0.634615385,2.780405946,24.97804059,-9223.517709,18459.03542,18499.43602
Estimate,0.565225116,0.929938945,0.191299854,0.599981214,2.779991233,24.97799912,-9227.141878,18466.28376,18506.68435
Estimate,0.310905632,0.9208801,0.217066355,0.601704517,2.720200059,25.17202001,-9222.564853,18457.12971,18497.5303
