"miu","be","sig","a","LogL","AIC","BIC"
0.657117871,0.951303439,0.16006996,0.409443529,-9321.667147,18651.33429,18678.26803
0.644228865,0.897348161,0.372085283,0.468788832,-9321.673836,18651.34767,18678.2814
0.671675764,0.960185238,0.198061169,0.350248829,-9321.974505,18651.94901,18678.88274
0.358685927,0.868013542,0.24056837,0.362816546,-9322.642181,18653.28436,18680.21809
0.571685534,0.952860871,0.301969741,0.478778921,-9322.658657,18653.31731,18680.25105
0.53388364,0.974186655,0.16377915,0.423841092,-9322.733524,18653.46705,18680.40078
0.385001693,0.656651573,0.65434658,0.642007185,-9322.876806,18653.75361,18680.68734
0.787837511,0.891169594,0.310260585,0.518479864,-9323.291523,18654.58305,18681.51678
0.566264995,0.889846717,0.428802841,0.563248015,-9323.48625,18654.9725,18681.90623
0.715146146,0.907642841,0.360627446,0.474353785,-9323.582289,18655.16458,18682.09831
0.478559021,0.80698279,0.287418238,0.50418098,-9323.962174,18655.92435,18682.85808
0.837530527,0.933253494,0.305108051,0.514599435,-9324.199214,18656.39843,18683.33216
0.75795818,0.918837643,0.280047686,0.405140586,-9324.476411,18656.95282,18683.88655
0.70453412,0.964396715,0.155959275,0.367453599,-9324.501454,18657.00291,18683.93664
0.624943069,0.815939909,0.471792384,0.589622063,-9324.508147,18657.01629,18683.95003
0.697466918,0.8963212,0.293801235,0.379396829,-9324.653534,18657.30707,18684.2408
0.493926192,0.972716542,0.186574624,0.365744866,-9324.925783,18657.85157,18684.7853
0.618727061,0.949395587,0.277438611,0.415210287,-9324.991335,18657.98267,18684.9164
0.724238199,0.897288586,0.292224359,0.557293142,-9325.206529,18658.41306,18685.34679
0.518268313,0.698888584,0.437641368,0.519549798,-9325.304426,18658.60885,18685.54258
0.69764599,0.935714039,0.218449028,0.523443897,-9325.490605,18658.98121,18685.91494
0.645878609,0.807885152,0.467741239,0.565583232,-9325.562349,18659.1247,18686.05843
0.668736886,0.950419094,0.290980158,0.543360148,-9325.575989,18659.15198,18686.08571
0.808899793,0.926024709,0.222963842,0.426791485,-9326.005089,18660.01018,18686.94391
0.763510003,0.93590036,0.307992899,0.511404335,-9326.149091,18660.29818,18687.23191
0.61779427,0.839424661,0.278643873,0.417787767,-9326.239527,18660.47905,18687.41279
0.594425536,0.877078518,0.264934194,0.349905672,-9326.482882,18660.96576,18687.8995
0.634787994,0.918920295,0.221908192,0.342055082,-9326.813774,18661.62755,18688.56128
0.434703859,0.957708525,0.146857055,0.472479012,-9326.964992,18661.92998,18688.86372
0.575252089,0.936905859,0.342672423,0.548203554,-9327.410491,18662.82098,18689.75471
0.622522189,0.961985818,0.269078932,0.467369224,-9327.446725,18662.89345,18689.82718
0.65940755,0.867319504,0.258050609,0.451754307,-9327.468835,18662.93767,18689.8714
0.582529655,0.735340795,0.420775878,0.531568379,-9327.75079,18663.50158,18690.43531
0.663052734,0.933337134,0.247693752,0.563913552,-9329.033073,18666.06615,18692.99988
0.687481618,0.966669993,0.166476455,0.475896801,-9329.322423,18666.64485,18693.57858
0.57490488,0.793926172,0.44608154,0.461994559,-9329.34043,18666.68086,18693.61459
0.818369213,0.933222795,0.22413264,0.430886622,-9329.478088,18666.95618,18693.88991
0.538324239,0.809341029,0.5149368,0.589192855,-9330.217678,18668.43536,18695.36909
0.534234215,0.953549334,0.281746944,0.431299046,-9330.252109,18668.50422,18695.43795
0.672784068,0.980978025,0.150700192,0.455204025,-9330.421442,18668.84288,18695.77662
0.833627613,0.954978364,0.218979623,0.515017041,-9330.54103,18669.08206,18696.01579
0.793843852,0.929248307,0.206484311,0.389701815,-9330.580079,18669.16016,18696.09389
0.600160728,0.90275091,0.209812067,0.355364675,-9330.676993,18669.35399,18696.28772
0.33056605,0.972699347,0.197599321,0.371674907,-9331.001487,18670.00297,18696.93671
0.763590542,0.959080147,0.268509387,0.541875001,-9331.353105,18670.70621,18697.63994
0.611419664,0.959299221,0.272465321,0.56589855,-9332.286046,18672.57209,18699.50582
0.651355478,0.903371805,0.199358905,0.465090404,-9332.404688,18672.80938,18699.74311
0.696458868,0.967407888,0.139951389,0.401810271,-9332.474014,18672.94803,18699.88176
0.710899475,0.963240948,0.158184028,0.452448937,-9332.708424,18673.41685,18700.35058
0.73812855,0.967225896,0.152868476,0.457937632,-9332.982281,18673.96456,18700.89829
0.648705652,0.945825683,0.275809009,0.581608787,-9333.048478,18674.09696,18701.03069
0.903567616,0.949445176,0.202327823,0.458381229,-9333.128868,18674.25774,18701.19147
0.727211859,0.930834112,0.218656408,0.344689679,-9333.850771,18675.70154,18702.63527
0.553219566,0.982018488,0.152874993,0.368174378,-9333.982711,18675.96542,18702.89915
0.861340992,0.966584793,0.243083186,0.487917189,-9334.032782,18676.06556,18702.9993
0.578088667,0.948089264,0.179076837,0.316215,-9334.146247,18676.29249,18703.22623
0.75582087,0.903344448,0.301144975,0.600372481,-9334.149829,18676.29966,18703.23339
0.622140831,0.941444947,0.191485605,0.330426271,-9334.276518,18676.55304,18703.48677
0.59943902,0.954836687,0.168458294,0.328356103,-9334.478497,18676.95699,18703.89073
