Parameter,miu,be,sig,a,p,LogL,AIC,BIC
Estimate,0.722716563,0.966572343,0.147543091,0.316420656,5.912686089,-9208.468617,18426.93723,18460.6044
Estimate,0.450570898,0.964188552,0.101896374,0.320780167,5.50328733,-9214.176718,18438.35344,18472.0206
Estimate,0.649685749,0.969962949,0.117591998,0.3193372,5.499914933,-9205.374325,18420.74865,18454.41581
Estimate,0.643932257,0.963307015,0.170373979,0.331362851,5.498880461,-9200.123847,18410.24769,18443.91486
Estimate,0.55366785,0.962422662,0.117238098,0.324959981,5.507561429,-9208.243987,18426.48797,18460.15514
Estimate,0.632536873,0.969773146,0.107044667,0.314387676,5.512934374,-9213.193123,18436.38625,18470.05341
Estimate,0.630685368,0.932316123,0.238874737,0.328986859,5.459985205,-9205.533454,18421.06691,18454.73407
Estimate,0.582884307,0.969968374,0.147498936,0.325197375,5.566650792,-9204.826522,18419.65304,18453.32021
Estimate,0.412303236,0.979693475,0.105210852,0.321504751,5.52417067,-9211.511386,18433.02277,18466.68994
Estimate,0.675347356,0.926493788,0.22490274,0.338808636,5.61083099,-9209.711008,18429.42202,18463.08918
Estimate,0.573949017,0.962004431,0.119789304,0.315588628,5.470506005,-9203.743243,18417.48649,18451.15365
Estimate,0.656504267,0.966736171,0.123836214,0.327950627,5.529394359,-9200.945861,18411.89172,18445.55889
Estimate,0.525383968,0.964279463,0.109770069,0.319970282,5.554130272,-9208.076667,18426.15333,18459.8205
Estimate,0.627171256,0.979796949,0.120380708,0.324373036,5.523990477,-9209.151534,18428.30307,18461.97023
Estimate,0.633333208,0.973098176,0.115689052,0.319089089,5.514533883,-9213.765101,18437.5302,18471.19737
Estimate,0.724191614,0.97216816,0.139118745,0.324260771,5.604537786,-9202.146696,18414.29339,18447.96056
Estimate,0.650438149,0.952425906,0.134873851,0.3076702,5.526025003,-9208.071107,18426.14221,18459.80938
Estimate,0.453777293,0.937934194,0.189678314,0.345823197,5.471193509,-9189.081719,18388.16344,18421.8306
Estimate,0.559559019,0.968842184,0.170730627,0.33724427,5.514014128,-9209.251935,18428.50387,18462.17103
Estimate,0.358516366,0.933630038,0.214447454,0.325974894,5.540913931,-9188.211619,18386.42324,18420.0904
Estimate,0.587153521,0.94459184,0.16650026,0.333628216,5.491229554,-9192.700578,18395.40116,18429.06832
