"miu","be","sig","a","q","LogL","AIC","BIC"
0.562029805,0.791043579,0.358580255,1.341318925,2.270159793,-9263.235572,18536.47114,18570.13831
0.60593227,0.860161406,0.303191624,1.331748376,1.938937242,-9263.806242,18537.61248,18571.27965
0.488165385,0.899762702,0.374188603,1.450049311,2.252565432,-9263.811788,18537.62358,18571.29074
0.890765973,0.938421093,0.28714516,1.435347867,2.054795933,-9264.008326,18538.01665,18571.68382
0.918858862,0.964397813,0.209670678,1.513780894,2.608142431,-9264.016729,18538.03346,18571.70062
0.735097119,0.849700256,0.365138276,1.430654721,2.348113858,-9264.245045,18538.49009,18572.15725
0.739163033,0.884659856,0.356862561,1.392131459,2.489644346,-9264.577703,18539.15541,18572.82257
1.098250424,0.969541573,0.22319034,1.485375775,2.297048437,-9265.137717,18540.27543,18573.9426
0.611275258,0.823001543,0.355777187,1.354178953,2.080200158,-9266.239303,18542.47861,18576.14577
0.791548813,0.924340578,0.199239248,1.302220964,2.009570026,-9266.425667,18542.85133,18576.5185
0.712922527,0.849761403,0.327696,1.353196775,2.185086291,-9266.456669,18542.91334,18576.5805
0.564394548,0.880209213,0.280275166,1.288587167,2.087522446,-9266.977367,18543.95473,18577.6219
0.268967981,0.986047376,0.185279097,1.327289079,2.021713003,-9269.267334,18548.53467,18582.20183
0.658915207,0.948642427,0.155013317,1.231376824,2.147510709,-9269.822714,18549.64543,18583.31259
0.337270309,0.943133429,0.228486714,1.256044313,2.330125413,-9270.207079,18550.41416,18584.08132
0.636834338,0.899330247,0.381813635,1.519276699,2.100239417,-9270.249693,18550.49939,18584.16655
0.872757755,0.93316029,0.293497598,1.408984026,2.216250059,-9270.766105,18551.53221,18585.19938
0.585414128,0.899929652,0.308634593,1.302278815,2.261656979,-9271.066423,18552.13285,18585.80001
0.843508365,0.889460985,0.278393328,1.415667321,2.333739842,-9271.676392,18553.35278,18587.01995
0.826628731,0.959909797,0.219040954,1.300927997,2.102763933,-9271.945845,18553.89169,18587.55886
0.823050764,0.941035187,0.307837876,1.439330926,2.153620219,-9272.411258,18554.82252,18588.48968
0.675833511,0.949004146,0.153773338,1.232703068,2.126947004,-9272.786175,18555.57235,18589.23952
0.459900671,0.904670781,0.175060127,1.258369499,2.137465889,-9273.554739,18557.10948,18590.77664
0.901131236,0.910035013,0.229476018,1.39861838,1.97337746,-9273.796037,18557.59207,18591.25924
0.607522554,0.900011875,0.367984594,1.420965832,2.107475947,-9274.110698,18558.2214,18591.88856
0.621251292,0.896658159,0.151050934,1.420612186,2.250618785,-9274.214965,18558.42993,18592.09709
1.00039451,0.985769376,0.088708044,1.275560985,2.365672282,-9274.432718,18558.86544,18592.5326
0.760959279,0.899480447,0.190828979,1.292939436,2.099569774,-9274.651174,18559.30235,18592.96951
0.8513151,0.953848408,0.246459911,1.329732188,2.111203437,-9274.659208,18559.31842,18592.98558
0.694063971,0.958958633,0.286305086,1.397988057,2.261766582,-9274.745926,18559.49185,18593.15902
0.684048053,0.909876195,0.229891853,1.265014646,2.099588741,-9274.77729,18559.55458,18593.22174
0.246720492,0.885025715,0.332956609,1.715416575,2.096609288,-9274.787155,18559.57431,18593.24147
0.755051338,0.930662521,0.136598072,1.478350638,2.045204258,-9275.503671,18561.00734,18594.67451
0.597626925,0.869203336,0.265943837,1.274738596,2.097722527,-9275.51161,18561.02322,18594.69038
0.746720408,0.875431232,0.362137469,1.370824698,2.705274399,-9275.815667,18561.63133,18595.2985
0.748075805,0.899594383,0.366526336,1.483242516,2.145744233,-9275.869927,18561.73985,18595.40702
0.804646449,0.942634757,0.180966067,1.249580867,2.165044875,-9275.902733,18561.80547,18595.47263
0.595822357,0.877128841,0.290041404,1.282412964,2.118610158,-9276.746426,18563.49285,18597.16002
1.074858232,0.953950299,0.268195133,1.48496604,2.484321365,-9277.67542,18565.35084,18599.018
0.19096129,0.899634893,0.302084076,1.625449276,2.753575094,-9278.174896,18566.34979,18600.01696
0.664448498,0.816559796,0.307339761,1.317921234,2.222199586,-9278.595403,18567.19081,18600.85797
0.662266622,0.947453744,0.156013771,1.233361262,2.064536859,-9278.704076,18567.40815,18601.07532
1.023460816,0.969295643,0.246170927,1.326131972,2.426217409,-9279.82203,18569.64406,18603.31122
0.182435173,0.900038636,0.273905825,1.698910515,2.099086043,-9279.832233,18569.66447,18603.33163
0.890276392,0.92939695,0.219815807,1.285338236,2.150503285,-9280.774543,18571.54909,18605.21625
0.778799018,0.877684369,0.281928656,1.314808635,2.110165942,-9280.915863,18571.83173,18605.49889
1.214649074,0.979030673,0.211734785,1.337533156,2.151973014,-9282.071784,18574.14357,18607.81073
0.65062002,0.878606081,0.319616486,1.303489457,2.122480667,-9283.051736,18576.10347,18609.77064
0.662064234,0.828843551,0.288982666,1.302520831,2.17898434,-9283.183372,18576.36674,18610.03391
0.611143911,0.916996714,0.267286478,1.269228788,2.108175576,-9283.417777,18576.83555,18610.50272
0.590367927,0.969779744,0.224400726,1.627213147,2.092285687,-9284.753655,18579.50731,18613.17448
0.500801115,0.977148619,0.070733256,1.244562373,2.103500682,-9285.377336,18580.75467,18614.42184
0.259860661,0.912665403,0.196638426,1.248989113,2.299353801,-9285.38638,18580.77276,18614.43993
0.354182155,0.930900807,0.201773249,1.235508161,2.156931124,-9285.502892,18581.00578,18614.67295
0.464245047,0.611830093,0.531614878,1.46116445,2.399313097,-9285.623032,18581.24606,18614.91323
0.862845821,0.957571401,0.18799633,1.261315076,2.038218582,-9286.644494,18583.28899,18616.95615
0.789404919,0.944623251,0.201280211,1.23433636,2.184766376,-9287.172789,18584.34558,18618.01274
0.604479216,0.90783996,0.255983694,1.255011179,2.101457447,-9287.95838,18585.91676,18619.58393
