"miu1","miu2","be1","be2","sig1","sig2","lam1","lam2","del1","del2","w1","w2","LogL","AIC","BIC"
0.210402804,1.044218808,0.874664634,0.975848095,0.217127447,0.096727861,0.270824194,0.931068443,1.805962097,0.427977059,0.283508646,0.149231623,-8996.713857,18017.42771,18098.22891
0.407402506,1.021739844,0.896630517,0.968460357,0.25791891,0.164175889,0.272745531,1.220665001,1.802319254,0.459965365,0.307812188,0.060983222,-8996.745859,18017.49172,18098.29291
0.306804073,0.945459075,0.900129205,0.961285908,0.196187384,0.154352382,0.219152603,1.226144194,1.811808779,0.427589711,0.299444515,0.110255026,-8996.834613,18017.66923,18098.47042
0.292657761,0.980757443,0.893230718,0.966099069,0.290230328,0.123437029,0.252535925,1.273683885,1.802248025,0.448498409,0.305579398,0.048691275,-8997.211668,18018.42334,18099.22453
0.296326901,0.953292662,0.893422834,0.975016499,0.254761288,0.122300087,0.303832816,1.130785895,1.797050447,0.449429686,0.294265459,0.049715941,-8997.427085,18018.85417,18099.65537
0.591640066,0.995624291,0.899684149,0.970951614,0.196420375,0.266657381,0.293275356,1.310227491,1.798283379,0.456197276,0.301773612,0.042992042,-8998.181546,18020.36309,18101.16429
0.106949296,1.014373546,0.864755189,0.958727347,0.28479376,0.250091036,0.241442436,1.217797941,1.805268045,0.448795003,0.351520554,0.148093533,-8998.602612,18021.20522,18102.00642
0.308016404,0.992856044,0.898925851,0.970036086,0.267515756,0.137082807,0.2740618,1.214877202,1.822366471,0.430822396,0.298170201,0.049582346,-8998.832443,18021.66489,18102.46608
0.429360784,0.933011907,0.910689167,0.979328368,0.240640602,0.125338943,0.189908112,1.263644515,1.782086916,0.427707068,0.321144287,0.1198172,-8999.270605,18022.54121,18103.34241
0.319960314,0.999806759,0.898612984,0.97558713,0.247420654,0.170032119,0.350170313,1.169504281,1.802735457,0.431477318,0.311724426,0.163098902,-8999.486752,18022.9735,18103.7747
0.356314587,1.020312271,0.900411027,0.972232043,0.223208939,0.198084867,0.339347676,1.259871,1.800884573,0.443126582,0.303665425,0.045870091,-8999.661634,18023.32327,18104.12446
0.275553274,0.881079499,0.908014473,0.976156758,0.188010525,0.098339207,0.29700006,1.192306993,1.782287917,0.402767077,0.280438621,0.135936838,-9000.189397,18024.37879,18105.17999
0.415262677,1.03556933,0.883879836,0.972683286,0.293220238,0.126700188,0.238148803,1.160509113,1.797907123,0.523928372,0.276749073,0.045232616,-9000.355576,18024.71115,18105.51235
0.287827659,0.96412859,0.900001181,0.969974142,0.199997375,0.162200678,0.321978263,1.166907126,1.799985561,0.577000482,0.299996062,0.049998687,-9000.502409,18025.00482,18105.80601
0.569477408,0.888383437,0.8995077,0.969814332,0.311935994,0.234096348,0.543015474,1.22234451,1.80203989,0.473322534,0.301329,0.049658273,-9000.737747,18025.47549,18106.27669
0.254816796,1.064809854,0.876525629,0.964851107,0.231937358,0.185091746,0.254524767,1.217540576,1.810694753,0.413284559,0.295892789,0.184737987,-9001.103939,18026.20788,18107.00907
0.336998062,0.959402119,0.879620453,0.965542102,0.210650592,0.148891681,0.285842462,1.133652645,1.804713929,0.411529961,0.29023088,0.051132688,-9001.172057,18026.34411,18107.14531
0.310853458,0.982446746,0.900853942,0.973979878,0.191863591,0.159055965,0.283819392,1.152368466,1.802480905,0.503440934,0.294864226,0.042908669,-9001.379005,18026.75801,18107.55921
0.413265904,1.029793218,0.900200599,0.959909738,0.268709557,0.138954853,0.226382812,1.12247393,1.833536678,0.430198063,0.300292573,0.138917748,-9001.476579,18026.95316,18107.75435
0.255945337,0.991363852,0.899681355,0.969726089,0.201345578,0.196497486,0.263753415,1.213244698,1.800714807,0.460936731,0.301810443,0.116117272,-9001.712638,18027.42528,18108.22647
0.303629603,0.992025459,0.896886224,0.970467004,0.256938629,0.165846924,0.326155734,1.258658799,1.803421232,0.432315465,0.343002024,0.123949536,-9001.739267,18027.47853,18108.27973
0.40584215,0.982087351,0.887070113,0.98,0.211918472,0.103187043,0.298198413,1.19813923,1.790010899,0.429049033,0.302844959,0.055175871,-9002.096871,18028.19374,18108.99494
