Parameter,miu,be,sig,a,p,q,LogL,AIC,BIC
Estimate,0.718790988,0.974610614,0.118400171,0.54372818,2.987103923,24.16932534,-9999.783658,20011.56732,20052.46488
Estimate,0.593114107,0.959873687,0.101352247,0.499723584,2.999825009,23.89872051,-10013.86835,20039.73671,20080.63427
Estimate,0.715184868,0.959175451,0.191728677,0.499711985,3.391276655,23.93825292,-9998.916803,20009.83361,20050.73117
Estimate,0.676336028,0.954453179,0.12227671,0.521508077,3.028802785,23.8854449,-9997.501122,20007.00224,20047.89981
Estimate,0.671638501,0.970935873,0.103352956,0.545787545,2.987082539,23.93598487,-10001.83094,20015.66187,20056.55944
Estimate,0.641339981,0.960000614,0.140153436,0.571199403,3.011770936,23.89948855,-9986.241735,19984.48347,20025.38103
Estimate,0.542260933,0.947932779,0.150708937,0.556899892,2.999777458,23.88832532,-9964.132298,19940.2646,19981.16216
Estimate,0.658974366,0.958933451,0.103917482,0.504995736,2.995647145,23.90949399,-10013.30244,20038.60487,20079.50243
Estimate,0.673781403,0.960310005,0.099854087,0.513629186,2.9997252,23.90556906,-10007.91861,20027.83722,20068.73478
Estimate,0.630602475,0.959977676,0.099998855,0.534409592,2.999967945,23.93352825,-9998.861957,20009.72391,20050.62147
Estimate,0.697690695,0.953697568,0.184353866,0.523488605,2.996911287,23.92823612,-9996.507552,20005.0151,20045.91267
Estimate,0.656305139,0.965248431,0.101394998,0.513282411,3.011684854,23.89819405,-10000.30632,20012.61264,20053.5102
Estimate,0.675028099,0.960000891,0.09999728,0.541337677,3.017294959,23.89919202,-10005.02256,20022.04512,20062.94269
Estimate,0.449141993,0.923073681,0.159893823,0.553318072,3.039627924,23.96506926,-9968.639816,19949.27963,19990.17719
Estimate,0.578925233,0.959934647,0.113333907,0.575585474,3.125821889,23.89916214,-10013.52506,20039.05012,20079.94768
Estimate,0.641448737,0.960000713,0.113610622,0.577204376,3.021158653,23.89940608,-10008.87814,20029.75628,20070.65384
Estimate,0.571496689,0.970787941,0.088615443,0.524566799,2.986352888,24.91680205,-10004.28161,20020.56322,20061.46078
