"miu","be","sig","lam","del","w","LogL","AIC","BIC"
0.302027952,0.900286835,0.200158606,0.306589307,0.899906281,0.613049919,-9805.7652,19623.5304,19664.42796
0.399385768,0.900827095,0.248503301,0.260565489,0.908826914,0.607539248,-9806.08173,19624.16346,19665.06102
0.299774082,0.900041845,0.200284548,0.297678616,0.899978582,0.599889108,-9806.09221,19624.18442,19665.08198
0.317302146,0.900008726,0.20302246,0.297845557,0.90001658,0.611430114,-9806.22626,19624.45252,19665.35008
0.561620048,0.961183528,0.14842828,0.315538611,0.802048357,0.663476802,-9806.34879,19624.69758,19665.59514
0.114714252,0.972915724,0.171149568,0.580997872,0.711283928,0.734625871,-9806.59789,19625.19578,19666.09334
0.278941633,0.899989617,0.199998901,0.289130292,0.899992858,0.599998901,-9806.89956,19625.79912,19666.69668
0.32340665,0.899412513,0.240193898,0.273041669,0.928798411,0.608629644,-9807.22256,19626.44512,19667.34268
0.31949989,0.927678469,0.156882013,0.345190207,0.884353424,0.597469781,-9807.32637,19626.65274,19667.5503
0.318607461,0.902767731,0.200190044,0.281989349,0.902531802,0.602874394,-9807.36957,19626.73914,19667.6367
0.254726643,0.939537156,0.16848751,0.322784002,0.911178631,0.602637028,-9807.95029,19627.90058,19668.79814
0.366439246,0.894255104,0.330387805,0.334645028,0.706717872,0.754728875,-9808.11729,19628.23458,19669.13214
0.309858194,0.899975621,0.278154041,0.27837464,0.905851113,0.603407019,-9808.24206,19628.48412,19669.38168
0.280844252,0.899993929,0.202242668,0.304091004,0.901109902,0.599999358,-9808.53885,19629.0777,19669.97526
0.561912556,0.928215847,0.183557172,0.250489851,0.717024158,0.696065501,-9808.76181,19629.52362,19670.42118
0.291257335,0.921328341,0.202985243,0.284995119,0.902286141,0.608206771,-9808.99855,19629.9971,19670.89466
0.172015049,0.890414907,0.202093248,0.568099102,0.888434167,0.606777617,-9809.38599,19630.77198,19671.66954
0.275798063,0.900002635,0.219693408,0.316987291,0.899961933,0.651569392,-9809.4879,19630.9758,19671.87336
0.151460635,0.919637819,0.221293619,0.339418224,0.887831639,0.597020247,-9809.65957,19631.31914,19672.2167
0.263817192,0.904487263,0.328471854,0.328717854,0.66724619,0.827616647,-9809.76287,19631.52574,19672.4233
0.452552284,0.900605473,0.338331424,0.44064974,0.867040141,0.598966862,-9809.83219,19631.66438,19672.56194
0.589884559,0.887686023,0.208955434,0.1942133,0.783631124,0.690054578,-9810.12272,19632.24544,19673.143
0.609207559,0.923447719,0.262284095,0.305966468,0.858641834,0.666801298,-9810.16122,19632.32244,19673.22
0.294637139,0.900000712,0.206638332,0.281265387,0.902198011,0.599998418,-9810.18381,19632.36762,19673.26518
0.246316855,0.943162516,0.216037053,0.3,0.794277004,0.670358999,-9810.45246,19632.90492,19673.80248
0.625681176,0.928592141,0.160480398,0.236141255,0.696642555,0.791150144,-9811.11718,19634.23436,19675.13192
0.459542444,0.944288323,0.175409478,0.209584565,0.716060271,0.773348447,-9811.36655,19634.7331,19675.63066
0.294156604,0.859083092,0.274006168,0.388802489,0.837995881,0.578106306,-9811.60854,19635.21708,19676.11464
0.788028753,0.932108714,0.206843592,0.368760168,0.654082503,0.743348154,-9812.09694,19636.19388,19677.09144
0.210349761,0.892932137,0.245873578,0.256090978,0.777006011,0.766921276,-9812.6277,19637.2554,19678.15296
0.25151744,0.904722769,0.250298248,0.268565738,0.896596296,0.625414718,-9813.03873,19638.07746,19678.97502
0.358023638,0.893385948,0.214028503,0.166499845,0.845078908,0.658343214,-9813.18038,19638.36076,19679.25832
0.365936379,0.929272274,0.171770564,0.338542221,0.933798663,0.622402972,-9813.81342,19639.62684,19680.5244
0.290530432,0.898560057,0.199455132,0.298693823,0.900654435,0.603859027,-9814.27874,19640.55748,19681.45504
0.511469756,0.974136992,0.104488558,0.391609964,0.703212961,0.743880022,-9814.29224,19640.58448,19681.48204
0.234127962,0.896082872,0.283973501,0.200268012,0.77725694,0.730671846,-9814.80611,19641.61222,19682.50978
0.285520885,0.900801514,0.220685377,0.231293714,0.740515489,0.69359648,-9815.98952,19643.97904,19684.8766
0.313380338,0.900002685,0.310217652,0.223339963,0.699967182,0.828738376,-9816.49169,19644.98338,19685.88094
0.382906027,0.900003145,0.320436277,0.623282784,0.994970025,0.599993011,-9817.69135,19647.3827,19688.28026
0.24937462,0.970963052,0.09518706,0.546133847,0.7414887,0.600643588,-9817.72215,19647.4443,19688.34186
0.597463509,0.974506843,0.108879554,0.371944527,0.739849552,0.69178993,-9818.21861,19648.43722,19689.33478
0.508425109,0.969922004,0.099996021,0.402779625,0.699956227,0.653888215,-9818.44118,19648.88236,19689.77992
0.614913467,0.943582426,0.169227446,0.203234252,0.670950144,0.762901798,-9818.45034,19648.90068,19689.79824
0.556226747,0.94103906,0.155144995,0.218193111,0.77741477,0.698861391,-9818.62911,19649.25822,19690.15578
0.730547929,0.903043213,0.274684034,0.265907314,0.711775813,0.794020509,-9818.84261,19649.68522,19690.58278
0.312261849,0.90000445,0.348475651,0.442911583,0.806650768,0.647034451,-9819.23748,19650.47496,19691.37252
0.534238686,0.880497249,0.235855649,0.426166334,0.834069789,0.734470208,-9819.33407,19650.66814,19691.5657
0.723416069,0.900049605,0.264411659,0.239140833,0.714922195,0.739173359,-9819.48683,19650.97366,19691.87122
0.218969218,0.873150627,0.30087364,0.272176331,0.72834069,0.726120422,-9820.32234,19652.64468,19693.54224
0.386246852,0.941729575,0.129178883,0.269693729,0.739884369,0.684898023,-9820.56807,19653.13614,19694.0337
0.558628466,0.969535851,0.097786161,0.358403237,0.70017391,0.680568826,-9821.04399,19654.08798,19694.98554
0.290222944,0.981101221,0.100353586,0.482009174,0.705520011,0.71286331,-9821.08825,19654.1765,19695.07406
0.311521435,0.952801357,0.150280694,0.218960202,0.708333372,0.770044917,-9821.09887,19654.19774,19695.0953
0.692066737,0.973733839,0.108404508,0.364060163,0.699744673,0.746534543,-9821.73691,19655.47382,19696.37138
0.318241917,0.920677657,0.229463983,0.242771772,0.918318863,0.621076132,-9821.93836,19655.87672,19696.77428
0.596031332,0.976955641,0.107067636,0.351750759,0.695037882,0.733174693,-9822.68355,19657.3671,19698.26466
0.266173293,0.91254021,0.123869314,0.540080504,0.625626272,0.808728888,-9822.97067,19657.94134,19698.8389
0.335281405,0.910178231,0.237290582,0.214666761,0.851704354,0.619619116,-9823.64471,19659.28942,19700.18698
0.51697281,0.917789553,0.131907991,0.327069942,0.717701397,0.772562636,-9823.76606,19659.53212,19700.42968
0.650037976,0.870070899,0.238831087,0.299641274,0.789250821,0.6338443,-9823.96508,19659.93016,19700.82772
0.036807822,0.976738008,0.107648953,0.589415156,0.700789077,0.667496508,-9824.7818,19661.5636,19702.46116
0.696461733,0.974201334,0.10321869,0.421178829,0.756247298,0.612056656,-9824.8057,19661.6114,19702.50896
0.346165796,0.818163605,0.320811179,0.236702642,0.975675013,0.562093815,-9824.85258,19661.70516,19702.60272
0.599952879,0.943859272,0.207987981,0.197993677,0.694840132,0.771863446,-9825.95938,19663.91876,19704.81632
0.227221028,0.933910901,0.160508133,0.303400294,0.837995052,0.664218726,-9825.99568,19663.99136,19704.88892
0.208737009,0.919969699,0.239418095,0.239776082,0.803513645,0.664120809,-9825.99997,19663.99994,19704.8975
0.321952837,0.930737469,0.274278619,0.265221484,0.780525204,0.707365535,-9826.13792,19664.27584,19705.1734
0.617659307,0.897200429,0.16659691,0.229261607,0.715160301,0.753394406,-9826.75856,19665.51712,19706.41468
0.358212672,0.957390352,0.16772971,0.383671452,0.722642413,0.809125413,-9828.04973,19668.09946,19708.99702
0.616301056,0.957539613,0.110995716,0.292306724,0.67841373,0.764716548,-9828.75631,19669.51262,19710.41018
