"miu","be","sig","a","LogL","AIC","BIC"
0.398064224,0.706933478,0.434580186,0.887205811,-10048.00252,20104.00504,20131.27008
0.611389777,0.860547648,0.291424479,0.877299499,-10048.1017,20104.20341,20131.46845
0.547842533,0.923683775,0.177751305,0.791738321,-10048.28348,20104.56696,20131.832
0.394054671,0.699956049,0.455375642,0.906248847,-10048.35616,20104.71233,20131.97737
0.440077176,0.899050069,0.300913523,0.935459889,-10048.40119,20104.80239,20132.06743
0.653937467,0.911045609,0.218919151,0.808347617,-10048.41286,20104.82573,20132.09077
0.587042301,0.902005075,0.250122254,0.801950953,-10048.47801,20104.95603,20132.22107
0.534275846,0.928899579,0.193367172,0.787158012,-10048.59609,20105.19218,20132.45722
0.563814497,0.939788882,0.220551019,0.881596758,-10048.67719,20105.35439,20132.61943
0.599045629,0.900789306,0.242257749,0.818007618,-10048.70316,20105.40633,20132.67137
0.508339557,0.941677593,0.160752565,0.813112813,-10048.78514,20105.57029,20132.83533
0.50410614,0.833628772,0.385041397,0.895661987,-10049.02753,20106.05506,20133.3201
0.423756969,0.90055653,0.275076673,0.804922922,-10049.12268,20106.24535,20133.51039
0.360133914,0.896645382,0.283422039,0.800451054,-10049.15421,20106.30842,20133.57346
0.608619484,0.899697601,0.235412496,0.819302793,-10049.15822,20106.31645,20133.58149
0.604543979,0.924989994,0.216587953,0.795331255,-10049.24848,20106.49696,20133.762
0.654225584,0.92956575,0.21101293,0.845087903,-10049.29291,20106.58583,20133.85087
0.613760859,0.900588592,0.247864407,0.890095315,-10049.33587,20106.67175,20133.93679
0.600363101,0.937829199,0.172088883,0.842141504,-10049.46388,20106.92777,20134.19281
0.441212253,0.909875622,0.275978753,0.819964139,-10049.50559,20107.01118,20134.27622
0.508128568,0.920197761,0.177262146,0.78464513,-10049.52026,20107.04052,20134.30556
0.30428739,0.915007541,0.2163985,0.875192578,-10049.52588,20107.05177,20134.31681
0.276122766,0.900004565,0.25091871,0.799944245,-10049.64609,20107.29218,20134.55722
0.383980987,0.899969567,0.2872951,0.799706442,-10049.71825,20107.43649,20134.70153
0.581248683,0.874083069,0.274538719,0.810489306,-10049.77869,20107.55739,20134.82243
0.492601126,0.906683708,0.256693265,0.79572179,-10050.00696,20108.01392,20135.27896
0.545645291,0.842035217,0.270659623,0.819528259,-10050.03186,20108.06372,20135.32876
0.564030071,0.892368992,0.294777209,0.901571022,-10050.10083,20108.20166,20135.4667
0.571856011,0.865724047,0.269295249,0.86258779,-10050.12932,20108.25864,20135.52368
0.448351447,0.912516194,0.258195362,0.808633441,-10050.18813,20108.37626,20135.6413
0.476076839,0.906328023,0.212720848,0.764764897,-10050.30973,20108.61945,20135.88449
0.551606356,0.900203223,0.19166868,0.799924955,-10050.36473,20108.72945,20135.99449
0.307174747,0.867009424,0.340177556,0.966674294,-10050.43579,20108.87159,20136.13663
0.638071783,0.916599452,0.210578608,0.854743679,-10050.61748,20109.23497,20136.50001
0.526004324,0.947206702,0.181788122,0.8185927,-10050.79945,20109.5989,20136.86394
0.598254346,0.899964917,0.230943039,0.796676967,-10050.91831,20109.83663,20137.10167
0.567897438,0.843288822,0.300358062,0.834731517,-10051.07587,20110.15175,20137.41679
0.60327535,0.844302597,0.324387457,0.899347888,-10051.09169,20110.18339,20137.44843
0.450485427,0.891280321,0.238321002,0.756725155,-10051.31729,20110.63457,20137.89961
0.534003937,0.862378884,0.308412615,0.811751456,-10051.39168,20110.78335,20138.0484
0.595987512,0.879357699,0.265063351,0.918598584,-10051.40381,20110.80762,20138.07266
0.419202859,0.924858034,0.22197285,0.777033676,-10051.45796,20110.91592,20138.18096
0.611927531,0.899531155,0.224345072,0.800280012,-10051.48717,20110.97434,20138.23938
0.489469948,0.917560502,0.270457328,0.814947625,-10051.52859,20111.05719,20138.32223
0.398626282,0.934086578,0.153820347,0.78547017,-10051.53154,20111.06309,20138.32813
0.498597119,0.929165632,0.179480293,0.794431262,-10051.70928,20111.41855,20138.68359
0.580017299,0.90041226,0.263190734,0.800988225,-10051.72532,20111.45065,20138.71569
0.584284746,0.836188481,0.311774885,0.868707887,-10051.75848,20111.51696,20138.782
0.529996508,0.943726961,0.207603201,0.839857422,-10051.87355,20111.7471,20139.01214
0.197897354,0.910263158,0.271197476,0.865089404,-10051.95571,20111.91142,20139.17646
0.56124107,0.956673553,0.159008003,0.822541376,-10051.98629,20111.97259,20139.23763
0.400872261,0.947455715,0.155382313,0.810101374,-10052.01988,20112.03975,20139.3048
0.529730274,0.879954918,0.28827107,0.809811178,-10052.03862,20112.07723,20139.34227
0.639092167,0.877924031,0.262769755,0.867299428,-10052.16729,20112.33458,20139.59962
0.344445566,0.892219926,0.287793058,0.807642016,-10052.18612,20112.37224,20139.63728
0.612316559,0.899683822,0.26524303,0.825831625,-10052.22741,20112.45481,20139.71985
0.599969449,0.898513383,0.212520627,0.801179017,-10052.26547,20112.53094,20139.79598
0.239977015,0.904597005,0.204038743,0.803972038,-10052.41732,20112.83463,20140.09967
0.456129316,0.797964758,0.344047763,0.820463962,-10052.44216,20112.88431,20140.14935
0.403760874,0.949833343,0.171314307,0.773690194,-10052.48785,20112.97569,20140.24073
0.518080053,0.900908697,0.289617842,0.924733263,-10052.52316,20113.04632,20140.31136
0.64566996,0.907203305,0.243492641,0.867552745,-10052.55712,20113.11424,20140.37928
0.63242194,0.900008495,0.246894561,0.799895233,-10052.58105,20113.1621,20140.42714
0.598767091,0.896997151,0.274558308,0.922149153,-10052.5917,20113.18341,20140.44845
0.583730617,0.900002677,0.254619495,0.799967281,-10052.62637,20113.25275,20140.51779
0.605197843,0.900870808,0.228151739,0.799362733,-10052.67569,20113.35138,20140.61642
0.530241527,0.901357444,0.209817439,0.789298166,-10052.80389,20113.60778,20140.87282
0.604749526,0.900672619,0.253845794,0.803149054,-10052.8446,20113.6892,20140.95424
0.385809771,0.938865683,0.158948196,0.788261471,-10052.8669,20113.73379,20140.99883
0.558700718,0.86388141,0.285839529,0.812000858,-10052.93988,20113.87977,20141.14481
0.557335326,0.924499849,0.210084405,0.770800277,-10052.94671,20113.89342,20141.15846
0.607277705,0.94385282,0.159166173,0.81698744,-10053.02846,20114.05692,20141.32196
0.557972265,0.914573737,0.187217433,0.791264418,-10053.07701,20114.15402,20141.41906
0.607346648,0.878622076,0.258920054,0.853443211,-10053.23742,20114.47483,20141.73987
0.537913107,0.879786097,0.302214739,0.814266156,-10053.24523,20114.49046,20141.7555
0.570496847,0.932497553,0.163965863,0.795700189,-10053.38898,20114.77796,20142.043
0.304716983,0.764967669,0.452980686,0.920057856,-10053.50642,20115.01284,20142.27788
0.612534012,0.93152693,0.175289492,0.83197418,-10053.67475,20115.3495,20142.61454
0.271696681,0.894777143,0.274772662,0.802090497,-10053.71956,20115.43912,20142.70416
0.546099123,0.909614683,0.180095547,0.797397274,-10053.97087,20115.94175,20143.20679
0.594876978,0.948546492,0.158739589,0.837927556,-10054.16078,20116.32157,20143.58661
0.56643249,0.876452884,0.26146951,0.795390329,-10054.32679,20116.65358,20143.91863
0.633400891,0.874967292,0.247291415,0.843782686,-10054.37154,20116.74309,20144.00813
0.435019281,0.899904087,0.325394387,0.912206112,-10054.44171,20116.88342,20144.14846
0.446361531,0.939280244,0.149222461,0.790061285,-10054.76962,20117.53924,20144.80428
0.399952576,0.890709922,0.255723532,0.763483834,-10054.87969,20117.75939,20145.02443
0.649738716,0.931296738,0.209074801,0.829044253,-10054.90208,20117.80415,20145.06919
0.285842385,0.889651498,0.293503614,0.967751269,-10055.03875,20118.0775,20145.34254
0.596474253,0.914562541,0.172358474,0.830210642,-10055.07025,20118.14049,20145.40553
0.62342497,0.861217077,0.286077341,0.906984265,-10055.08018,20118.16036,20145.4254
0.631154642,0.897248475,0.212323887,0.84846077,-10055.14671,20118.29342,20145.55846
0.616813139,0.904844327,0.225867258,0.795570624,-10055.174,20118.34801,20145.61305
0.511426059,0.922900218,0.181387224,0.888914764,-10055.26472,20118.52943,20145.79447
0.483326497,0.947175833,0.155250852,0.773194258,-10055.31347,20118.62694,20145.89198
0.421974137,0.950647949,0.170055366,0.793565412,-10055.36903,20118.73805,20146.0031
0.546048659,0.873788759,0.276487843,0.792424858,-10055.44632,20118.89264,20146.15768
