window,miu,be,sig,a,LogL
410,0.334163915,0.788079088,0.293612092,1.249070894,-10085.85988
411,0.439972869,0.876282764,0.214931601,1.23234592,-10082.88542
412,0.340476059,0.854140346,0.299133516,1.242683729,-10058.54497
413,0.536898707,0.896098399,0.291574772,1.313058491,-10117.68466
414,0.418622564,0.899817439,0.300130865,1.308289797,-10115.25375
415,0.306116818,0.879524805,0.266042532,1.149129854,-10052.84667
416,0.401057912,0.899997292,0.31406883,1.299997965,-10112.47764
417,0.349077968,0.900072157,0.299997601,1.300011694,-10103.7859
418,0.462042621,0.901000187,0.299880202,1.299768449,-10106.91772
419,0.383484689,0.893790602,0.253038945,1.296319676,-10098.59852
420,0.396257306,0.900624781,0.304122944,1.299834802,-10108.96046
421,0.40878549,0.900041589,0.300004237,1.299979594,-10113.66659
